"filename", "language", "JSON", "TypeScript", "XML", "HTML", "Markdown", "JavaScript", "TypeScript JSX", "CSS", "JSON with Comments", "comment", "blank", "total"
"/home/gobi/Roomapp/backend/package.json", "JSON", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"/home/gobi/Roomapp/backend/src/COnfig/db.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 2, 18
"/home/gobi/Roomapp/backend/src/Controllers/jwttokenverify.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 6, 31
"/home/gobi/Roomapp/backend/src/Routes/global.ts", "TypeScript", 0, 258, 0, 0, 0, 0, 0, 0, 0, 17, 22, 297
"/home/gobi/Roomapp/backend/src/Routes/ownerRoutes/createroomroute.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/gobi/Roomapp/backend/src/index.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 8, 37
"/home/gobi/Roomapp/backend/src/models/createroom.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 1, 2, 40
"/home/gobi/Roomapp/backend/src/models/loginshema.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 2, 36
"/home/gobi/Roomapp/backend/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 2, 20
"/home/gobi/Roomapp/frontend/Room-app/README.md", "Markdown", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 10, 53
"/home/gobi/Roomapp/frontend/Room-app/components.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"/home/gobi/Roomapp/frontend/Room-app/eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 2, 29
"/home/gobi/Roomapp/frontend/Room-app/index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"/home/gobi/Roomapp/frontend/Room-app/package.json", "JSON", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 79
"/home/gobi/Roomapp/frontend/Room-app/postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/home/gobi/Roomapp/frontend/Room-app/public/vite.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/gobi/Roomapp/frontend/Room-app/src/App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 1, 44
"/home/gobi/Roomapp/frontend/Room-app/src/App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 2, 28
"/home/gobi/Roomapp/frontend/Room-app/src/app/login/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 3, 33
"/home/gobi/Roomapp/frontend/Room-app/src/assets/react.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/gobi/Roomapp/frontend/Room-app/src/components/Locationcomponent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 12, 92
"/home/gobi/Roomapp/frontend/Room-app/src/components/login-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
