"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"/home/gobi/Roomapp/frontend/Room-app/src/pages/Ownerhome/Ownercomponents/Editroom.tsx", "TypeScript JSX", 41, -1, 4, 44
"Total", "-", 41, -1, 4, 44
